"Count","Percent","Word"
"0012","00.01%","uncle"
"0012","00.01%","via"
"0012","00.01%","wasn't"
"0012","00.01%","wow"
"0011","00.01%","abiola"
"0011","00.01%","asap"
"0011","00.01%","asking"
"0011","00.01%","bath"
"0011","00.01%","blood"
"0011","00.01%","checking"
"0011","00.01%","clean"
"0011","00.01%","comin"
"0011","00.01%","crave"
"0011","00.01%","discount"
"0011","00.01%","dogging"
"0011","00.01%","dream"
"0011","00.01%","eg"
"0011","00.01%","entered"
"0011","00.01%","exam"
"0011","00.01%","feels"
"0011","00.01%","gets"
"0011","00.01%","hg"
"0011","00.01%","isn't"
"0011","00.01%","jay"
"0011","00.01%","kate"
"0011","00.01%","lovable"
"0011","00.01%","loved"
"0011","00.01%","match"
"0011","00.01%","met"
"0011","00.01%","monday"
"0011","00.01%","move"
"0011","00.01%","muz"
"0011","00.01%","noon"
"0011","00.01%","orchard"
"0011","00.01%","paper"
"0011","00.01%","pete"
"0011","00.01%","plans"
"0011","00.01%","police"
"0011","00.01%","red"
"0011","00.01%","remove"
"0011","00.01%","rest"
"0011","00.01%","reward"
"0011","00.01%","rock"
"0011","00.01%","rply"
"0011","00.01%","safe"
"0011","00.01%","sell"
"0011","00.01%","shower"
"0011","00.01%","slow"
"0011","00.01%","slowly"
"0011","00.01%","small"
"0011","00.01%","somebody"
"0011","00.01%","sort"
"0011","00.01%","std"
"0011","00.01%","store"
"0011","00.01%","sunday"
"0011","00.01%","truth"
"0011","00.01%","txting"
"0011","00.01%","usf"
"0011","00.01%","w1j6hl"
"0011","00.01%","wana"
"0011","00.01%","wap"
"0011","00.01%","whenever"
"0011","00.01%","wine"
"0011","00.01%","wonder"
"0011","00.01%","yep"
"0010","00.01%","00"
"0010","00.01%","900"
"0010","00.01%","across"
"0010","00.01%","admirer"
"0010","00.01%","b'day"
"0010","00.01%","bathe"
"0010","00.01%","bill"
"0010","00.01%","booked"
"0010","00.01%","callertune"
"0010","00.01%","cheap"
"0010","00.01%","convey"
"0010","00.01%","custcare"
"0010","00.01%","deep"
"0010","00.01%","del"
"0010","00.01%","different"
"0010","00.01%","drugs"
"0010","00.01%","em"
"0010","00.01%","empty"
"0010","00.01%","energy"
"0010","00.01%","england"
"0010","00.01%","ex"
"0010","00.01%","fact"
"0010","00.01%","fantastic"
"0010","00.01%","figure"
"0010","00.01%","film"
"0010","00.01%","forever"
"0010","00.01%","gal"
"0010","00.01%","gave"
"0010","00.01%","gettin"
"0010","00.01%","getzed"
"0010","00.01%","glad"
"0010","00.01%","hmv"
"0010","00.01%","hoping"
"0010","00.01%","hospital"
"0010","00.01%","il"
"0010","00.01%","immediately"
"0010","00.01%","kids"
"0010","00.01%","knows"
"0010","00.01%","laugh"
"0010","00.01%","ldn"
"0010","00.01%","leaves"
"0010","00.01%","less"
"0010","00.01%","link"
"0010","00.01%","merry"
"0010","00.01%","mm"
"0010","00.01%","moment"
"0010","00.01%","months"
"0010","00.01%","myself"
"0010","00.01%","na"
"0010","00.01%","nah"
"0010","00.01%","near"
"0010","00.01%","nobody"
"0010","00.01%","normal"
"0010","00.01%","ntt"
"0010","00.01%","oops"
"0010","00.01%","otherwise"
"0010","00.01%","own"
"0010","00.01%","poor"
"0010","00.01%","pray"
"0010","00.01%","rakhesh"
"0010","00.01%","rates"
"0010","00.01%","reached"
"0010","00.01%","representative"
"0010","00.01%","ringtones"
"0010","00.01%","save"
"0010","00.01%","somewhere"
"0010","00.01%","sony"
"0010","00.01%","spend"
"0010","00.01%","street"
"0010","00.01%","study"
"0010","00.01%","tc"
"0010","00.01%","terms"
"0010","00.01%","tickets"
"0010","00.01%","tonite"
"0010","00.01%","ts"
"0010","00.01%","usual"
"0010","00.01%","voice"
"0010","00.01%","warm"
"0010","00.01%","water"
