count,word
8,apartment
1,apes
1,apeshit
1,aphex
1,apnt
2,apo
1,apologetic
3,apologise
1,apologize
1,apology
6,app
4,apparently
1,appeal
1,appear
1,appendix
1,applausestore
2,applebees
1,apples
2,application
32,apply
1,applyed
1,applying
4,appointment
1,appointments
7,appreciate
2,appreciated
1,approaches
1,approaching
1,appropriate
1,approve
1,approved
2,approx
3,apps
4,appt
1,appy
5,april
2,aproach
1,apt
1,aptitude
1,aquarius
8,ar
1,arab
1,arabian
6,arcade
1,archive
22,ard
495,are
13,area
5,aren't
2,arent
1,arestaurant
1,aretaking
1,areyouunique
1,argentina
3,argh
4,argue
1,arguing
5,argument
1,arguments
1,aries
1,arise
1,arises
1,arithmetic
2,arm
5,armand
1,armand's
1,armenia
4,arms
3,arng
1,arngd
1,arnt
61,around
1,aroundn
1,arr
6,arrange
1,arranging
5,arrested
1,arrival
7,arrive
1,arrived
1,arrow
3,arsenal
3,art
1,artists
2,arts
1,arty
1,arul
3,arun
182,as
1,asa
11,asap
1,asda
1,ashes
1,ashley
1,ashley's
1,ashwini
1,asia
1,asian
1,asjesus
89,ask
12,askd
28,asked
6,askin
11,asking
5,asks
1,aslamalaikkum
6,asleep
2,asp
1,aspects
13,ass
1,assessment
1,asshole
1,assistance
1,associate
1,asssssholeeee
4,assume
1,assumed
1,asthere
1,asthma
1,astne
1,astoundingly
1,astrology
1,astronomer
1,asus
1,asusual
406,at
6,ate
1,athletic
1,athome
4,atlanta
2,atlast
1,atleast
5,atm
1,atrocious
1,attach
2,attached
1,attack
24,attempt
1,atten
4,attend
1,attended
1,attending
1,attention
1,attitude
1,attraction
1,attractive
1,attracts
1,attributed
18,auction
1,audiitions
3,audition
1,audrey
1,audrey's
1,audrie
3,august
2,aunt
1,auntie
1,aunties
2,aunts
2,aunty
1,aunty's
1,aust
1,australia
1,authorise
3,auto
1,autocorrect
2,av
1,ava
1,availa
18,available
1,avalarr
3,avatar
1,avble
8,ave
1,avenge
3,avent
1,avenue
1,avin
1,avo
2,avoid
2,avoiding
1,avoids
20,await
8,awaiting
7,awake
29,award
38,awarded
25,away
19,awesome
1,awkward
2,aww
1,awww
1,ax
1,axis
1,ay
2,ayn
1,ayo
74,b
1,b-blue
1,b-day
1,b'coz
10,b'day
1,b'tooth
2,ba
1,baaaaaaaabe
1,baaaaabe
79,babe
6,babes
2,babies
31,baby
1,babygoodbye
1,babyjontet
1,babysit
1,babysitting
1,bac
153,back
1,backdoor
1,backwards
32,bad
1,badass
1,badly
1,badrith
7,bag
3,bags
4,bahamas
1,baig
1,bailiff
8,bak
1,bakra
1,bakrid
6,balance
1,ball
1,baller
1,balloon
1,balls
1,bam
1,bambling
1,band
1,bandages
2,bang
1,bangb
1,bangbabes
1,bani
14,bank
3,banks
1,banned
1,banneduk
1,banter
1,bao
2,bar
1,barbie
1,barcelona
1,bare
6,barely
1,bari
1,barkleys
1,barmed
1,barolla
1,barred
1,barrel
1,barring
1,barry
1,bars
2,base
1,bash
4,basic
5,basically
1,basket's
1,basketball
1,basq
3,bat
2,batch
1,batchlor
11,bath
10,bathe
4,bathing
1,bathroom
1,batsman
1,batt
7,battery
2,battle
1,bawling
4,bay
8,bb
1,bb's
1,bbc
2,bbd
1,bbdeluxe
1,bbq
2,bc
1,bcaz
2,bck
1,bcm
12,bcoz
1,bcs
1,bcum
4,bcums
1,bcz
4,bday
388,be
1,beach
1,beads
2,bear
2,bears
1,beatings
1,beauties
21,beautiful
2,beauty
2,bec
1,becaus
39,because
1,becausethey
7,become
2,becomes
4,becoz
1,becz
32,bed
1,bedbut
1,bedreal
2,bedrm
8,bedroom
1,beeen
1,beehoon
131,been
1,beendropping
4,beer
1,beer-rs
1,beerage
1,beers
4,befor
66,before
1,beforehand
2,beg
1,beggar
2,begging
5,begin
1,begins
1,begun
1,behalf
3,behave
7,behind
3,bein
44,being
21,believe
2,belive
3,bell
1,bellearlier
1,belligerent
5,belly
1,belong
1,belongs
4,belovd
2,beloved
1,belt
3,ben
1,bend
2,beneath
2,beneficiary
2,benefits
1,bennys
1,bergkamp
1,beside
48,best
4,bet
1,beta
1,beth
1,betta
43,better
1,bettersn
1,bettr
31,between
1,beverage
1,bevies
3,beware
3,beyond
5,bf
1,bffs
1,bfore
2,bhaji
1,bhaskar
1,bhayandar
1,bian
1,biatch
7,bid
2,bids
37,big
3,bigger
4,biggest
1,bike
10,bill
3,billed
1,billing
2,billion
2,bills
1,billy
1,bilo
1,bimbo
5,bin
1,biola
1,biola's
2,bird
5,birds
3,birla
1,biro
3,birth
2,birthdate
36,birthday
4,bishan
45,bit
5,bitch
1,bitching
3,bite
1,bites
1,bits
7,biz
2,bk
8,black
4,blackberry
1,blacko
3,blah
3,blake's
3,blame
4,blank
1,blanked
1,blanket
1,blankets
1,blastin
1,bleak
2,bleh
3,bless
2,blessed
2,blessing
3,blessings
1,blimey
2,blind
2,block
1,blocked
1,blog
1,blogging
1,blogspot
2,bloke
1,bloke's
1,blokes
2,blonde
3,bloo
11,blood
4,bloody
4,bloomberg
3,blow
1,blowing
1,blown
2,blu
13,blue
9,bluetooth
1,bluetoothhdset
2,bluff
2,blur
1,bluray
3,bmw
1,board
3,boat
1,boatin
1,bob
6,body
1,boggy
1,bognor
7,bold
1,bollox
1,boltblue
1,bomb
2,bone
1,bong
21,bonus
6,boo
1,boobs
22,book
10,booked
1,bookedthe
3,booking
1,bookmark
3,books
1,bookshelf
1,boooo
5,boost
3,booty
2,bootydelious
1,borderline
24,bored
2,borin
5,boring
4,born
2,borrow
9,boss
5,boston
1,bot
21,both
7,bother
1,bothering
3,bottle
3,bottom
6,bought
1,boundaries
16,bout
1,bowa
4,bowl
1,bowls
38,box
30,boy
1,boy-y
3,boye
1,boyf
2,boyfriend
6,boys
16,boytoy
1,bpo
2,brah
3,brain
1,braindance
1,brainless
1,brains
1,brainy
6,brand
2,brandy
1,bras
1,brats
1,braved
2,bray
1,brb
1,brdget
2,bread
1,breadstick
17,break
1,breaker
1,breakfast
1,breakin
1,breaking
1,breaks
2,breath
2,breathe
1,breather
1,breathing
1,breeze
1,breezy
1,bribe
1,bridal
1,bridge
1,bridgwater
2,brief
4,bright
1,brighten
5,brilliant
1,brilliantly
1,brin
26,bring
4,bringing
9,brings
1,brisk
1,brison
2,bristol
2,british
2,britney
3,bro
2,broad
1,broadband
5,broke
2,broken
1,brolly
3,bros
1,broth
3,brothas
20,brother
1,brothers
4,brought
1,brown
1,brownie
1,brownies
1,browse
1,browser
1,browsin
2,bruce
1,brum
2,bruv
13,bslvyl
1,bsn
1,bsnl
3,bstfrnd
27,bt
2,bt-national
8,bt-national-rate
1,bthere
5,btw
1,btwn
1,bubbletext
7,bucks
4,bud
1,buddy
1,buddys
6,budget
1,buen
3,buff
2,buffet
1,buffy
7,bugis
2,build
3,building
1,built
2,bulbs
1,bull
1,bullshit
1,bunch
1,bundle
1,bunkers
5,buns
1,burden
3,burger
1,burgundy
1,burial
1,burn
2,burning
2,burns
1,burnt
1,burrito
29,bus
2,buses
1,busetop
3,business
1,busty
21,busy
448,but
3,butt
1,buttheres
1,butting
1,buttons
65,buy
1,buyer
1,buyers
9,buying
1,buz
3,buzy
7,buzz
1,buzzzz
1,bw
1,bx
174,by
1,byatch
6,bye
99,c
1,c-in
1,c-red
18,c's
1,cab
5,cabin
1,cable
6,cafe
1,cage
8,cake
1,cakes
7,cal
1,calculated
2,calculation
1,cali
1,cali's
3,calicut
3,california
585,call
3,callback
2,callcost
2,calld
33,called
13,caller
5,callers
10,callertune
2,callfreefone
3,callin
21,calling
1,callon
32,calls
2,calm
4,cam
15,camcorder
27,came
38,camera
1,camp
6,campus
1,camry
409,can
61,can't
2,canada
2,canal
2,canary
8,cancel
1,canceled
2,cancelled
6,cancer
1,canlove
3,cann't
1,canname
5,cannot
66,cant
1,cantdo
1,canteen
1,capacity
2,capital
2,cappuccino
1,caps
3,captain
1,captaining
41,car
17,card
3,cardiff
1,cardin
1,cards
73,care
1,careabout
2,cared
4,career
2,careers
4,careful
4,carefully
1,careless
3,cares
3,caring
1,carlie
1,carlin
16,carlos
1,carlos'll
1,carly
1,carolina
2,caroline
1,carpark
3,carry
1,carryin
5,cars
1,cartons
5,cartoon
14,case
74,cash
7,cash-balance
7,cash-in
2,cashbin
1,cashed
2,cashto
1,casing
1,cast
1,casting
2,castor
1,casualty
4,cat
9,catch
1,catches
3,catching
1,categories
3,caught
18,cause
1,causes
2,causing
1,cave
1,caveboy
5,cbe
6,cc
1,ccna
9,cd
2,cdgt
5,cds
1,cedar
1,ceiling
3,celeb
4,celebrate
1,celebrated
2,celebration
1,celebrations
7,cell
1,census
4,center
5,centre
1,century
1,cer
1,cereals
1,ceri
3,certainly
1,certificate
4,cha
1,chachi
1,chad
3,chain
3,challenge
1,challenging
1,champ
1,champlaxigating
1,champneys
39,chance
2,chances
22,change
7,changed
3,changes
1,changing
2,channel
1,chapel
1,chaps
1,chapter
6,character
1,characters
20,charge
12,charged
5,charges
9,charity
2,charles
1,charlie
1,charming
2,chart
1,charts
2,chase
3,chasing
1,chastity
57,chat
1,chatlines
1,chatter
3,chatting
10,cheap
5,cheaper
2,cheat
2,cheating
3,chechi
39,check
1,checkboxes
6,checked
1,checkin
11,checking
1,checkmate
1,checkup
1,cheek
3,cheer
1,cheered
8,cheers
1,cheery
2,cheese
1,cheesy
1,cheetos
1,chef
15,chennai
1,cheque
2,cherish
1,cherthala
1,chess
2,chest
1,chex
1,cheyyamo
1,chez
1,chg
1,chgs
1,chic
1,chick
3,chicken
1,chickened
1,chief
1,chik
20,chikku
3,child
1,child's
6,childish
1,childporn
9,children
1,childrens
1,chile
3,chill
1,chillaxin
3,chillin
3,china
1,chinatown
1,chinchillas
5,chinese
1,chinky
1,chinnu
1,chiong
2,chip
1,chit-chat
1,chk
1,chloe
2,chocolate
5,choice
1,choices
17,choose
1,choosing
1,chop
1,chords
1,chores
3,chosen
1,chrgd
2,christ
1,christians
13,christmas
1,christmassy
1,chuck
1,chuckin
4,church
1,ciao
7,cine
8,cinema
3,citizen
5,city
1,citylink
1,cl
113,claim
1,claimcode
2,claims
3,claire
1,clarification
1,clarify
2,clark
1,clas
1,clash
45,class
2,classes
1,classic
1,classmates
1,claypot
2,cld
11,clean
4,cleaning
3,clear
3,cleared
1,clearer
2,clearing
2,clearly
2,clever
7,click
1,cliff
1,cliffs
1,clip
4,clock
1,clocks
18,close
1,closeby
6,closed
4,closer
2,closes
1,cloth
2,clothes
1,cloud
1,clover
20,club
1,clubmoby
1,clubsaisai
1,clubzed
1,clue
2,cm
2,cme
1,cmon
3,cn
1,cnl
2,cnn
1,cnupdates
56,co
1,coach
2,coast
2,coat
1,coaxing
1,coca-cola
1,coccooning
2,cochin
3,cock
1,cocksuckers
1,coco
31,code
9,coffee
1,coherently
1,coimbatore
2,coin
1,coincidence
4,coins
1,colany
7,cold
1,colin
1,collages
1,collapsed
9,colleagues
28,collect
3,collected
3,collecting
26,collection
1,colleg
16,college
2,color
23,colour
1,colourful
2,colours
71,com
1,comb
1,combination
2,combine
232,come
4,comedy
21,comes
1,comfey
2,comfort
11,comin
51,coming
1,comingdown
1,command
1,comment
2,commercial
1,commit
5,common
3,community
1,como
12,comp
1,companies
1,companion
17,company
2,compare
1,compass
1,compensation
6,competition
1,complacent
1,complain
1,complaining
2,complaint
1,complementary
8,complete
2,completed
9,completely
1,completes
1,completing
1,complexities
12,complimentary
1,compliments
1,comprehensive
2,compromised
1,compulsory
1,computational
12,computer
1,computerless
1,computers
9,comuk
1,conacted
3,concentrate
1,concentrating
1,concentration
1,concern
1,concerned
3,concert
1,conclusion
2,condition
5,conditions
2,conducts
1,conected
1,conference
6,confidence
1,configure
12,confirm
2,confirmd
3,confirmed
2,conform
2,confused
2,confuses
19,congrats
1,congratulation
15,congratulations
4,connect
1,connected
5,connection
2,connections
1,cons
1,consensus
1,consent
1,conserve
2,consider
4,considering
1,consistently
2,console
2,constant
3,constantly
68,contact
5,contacted
2,contacts
1,contains
15,content
1,contented
1,contention
3,contents
1,continent
2,continue
1,continued
6,contract
1,contribute
2,control
1,convenience
1,conversations
1,converted
1,converter
10,convey
1,conveying
1,convince
2,convinced
2,convincing
4,cook
2,cooked
2,cookies
4,cooking
42,cool
1,cool-mob
1,cooped
1,cooperative
1,copied
1,copies
2,coping
1,cops
9,copy
1,corect
3,cornwall
1,corporation
1,corrct
12,correct
2,correction
1,correctly
1,corrupt
1,corvettes
76,cos
1,cosign
40,cost
7,costa
2,costing
5,costs
1,costume
1,costumes
1,couch
1,cougar-pen
1,cough
1,coughing
60,could
1,coulda
1,couldn
5,couldn't
2,count
2,countin
1,countinlots
7,country
1,counts
1,coupla
13,couple
2,courage
1,courageous
14,course
1,court
1,courtroom
2,cousin
8,cover
1,coveragd
2,covers
22,coz
1,cozy
1,cps
1,cr
3,crab
3,crack
1,craigslist
1,crammed
3,cramps
2,crap
2,crash
1,crashed
1,crashing
11,crave
1,craving
2,craziest
15,crazy
1,crazyin
1,crckt
4,cream
6,created
1,creative
1,creativity
14,credit
4,credited
9,credits
2,creep
2,creepy
1,cres
1,cribbs
1,cricket
2,cricketer
1,crickiting
1,cried
2,crisis
2,crore
4,cross
1,crossing
1,crowd
7,croydon
1,crucial
1,crucify
1,cruel
3,cruise
1,cruisin
1,crushes
5,cry
1,crying
44,cs
1,csc
1,cst
1,cstore
1,ctagg
1,ctargg
1,cthen
1,ctla
1,cts
1,cttargg
1,ctter
1,cttergg
2,ctxt
1,cu
1,cuck
5,cud
3,cuddle
1,cuddled
2,cuddling
1,cudnt
1,culdnt
1,cultures
14,cum
1,cumin
1,cumming
9,cup
1,cupboard
1,cuppa
1,curfew
2,curious
5,current
13,currently
2,curry
1,curtsey
1,cusoon
4,cust
10,custcare
2,custom
58,customer
1,customercare
2,customers
1,customersqueries
13,cut
8,cute
3,cutefrnd
1,cutest
1,cutie
1,cutter
2,cutting
7,cuz
1,cya
1,cyclists
1,cysts
118,d
150,da
1,dabbles
1,dabooks
28,dad
1,dad's
8,daddy
1,dads
3,dai
6,daily
1,dammit
7,damn
2,dan
1,dancce
2,dance
1,dancin
2,dancing
1,dane
1,dang
1,danger
1,dangerous
1,dao
4,dare
3,dark
1,darker
1,darkest
1,darkness
15,darlin
5,darling
2,darlings
12,darren
1,dartboard
1,das
1,dasara
39,dat
2,dat's
1,data
20,date
4,dates
17,dating
1,dats
2,datz
3,dave
1,dawns
220,day
44,days
1,daytime
1,daywith
1,db
2,dbuk
1,dd
25,de
9,dead
9,deal
1,dealer
1,dealer's
2,dealing
1,deals
121,dear
1,dear-loving
3,dearer
3,dearly
3,death
1,debating
1,dec
1,decades
5,december
1,decent
9,decide
16,decided
2,deciding
25,decimal
4,decision
2,decisions
1,deck
1,decking
1,declare
1,decorating
2,dedicate
2,dedicated
1,deduct
10,deep
2,deepak
1,deepest
1,deer
2,deeraj
4,def
2,defeat
1,defer
2,definite
7,definitely
1,definitly
1,defo
1,degree
1,degrees
1,dehydrated
1,dehydration
10,del
2,delay
1,delayed
2,delete
4,deleted
2,delhi
1,delicious
5,deliver
4,delivered
3,deliveredtomorrow
22,delivery
1,deltomorrow
1,deluxe
4,dem
2,demand
32,den
1,dena
1,dengra
2,denis
1,dent
1,dental
1,dentist
1,dentists
1,deny
1,denying
2,department
1,dependable
1,dependents
7,depends
1,deposit
1,deposited
2,depressed
1,depression
1,dept
1,der
4,derek
1,derek's
1,derp
1,describe
1,description
2,desert
1,deserve
1,designation
2,desires
1,desk
2,desparate
1,desparately
2,desperate
2,despite
1,dessert
1,destination
1,destiny
1,detail
1,detailed
27,details
1,determine
1,determined
2,detroit
2,deus
2,develop
1,developed
1,developer
1,device
1,devils
1,deviousbitch
2,devouring
7,dey
1,dha
1,dhanush
2,dhina
2,dhoni
1,dhorte
3,di
2,dial
1,dialling
1,dialogue
1,diamond
2,diamonds
1,diapers
1,dice
3,dick
1,dict
4,dictionary
122,did
5,did'nt
5,did't
1,diddy
4,didn
44,didn't
30,didnt
1,didntgive
12,die
6,died
1,diesel
4,diet
1,dieting
3,diff
2,differ
2,difference
1,differences
10,different
12,difficult
2,difficulties
3,dificult
1,digi
8,digital
1,digits
3,dignity
1,dileep
2,dime
1,dimension
8,din
1,dine
1,dined
1,dinero
2,ding
2,dining
36,dinner
1,dino
6,dint
1,dip's
2,dippeditinadew
12,direct
6,directly
1,director
1,directors
1,dirt
1,dirtiest
4,dirty
30,dis
1,disagreeable
1,disappeared
1,disappointment
1,disaster
1,disasters
1,disastrous
1,disc
2,disclose
2,disconnect
1,disconnected
11,discount
2,discreet
5,discuss
2,discussed
1,diseases
1,disk
3,dislikes
1,dismay
1,dismissial
3,display
3,distance
2,distract
9,disturb
1,disturbance
2,disturbing
1,ditto
1,divert
2,division
2,divorce
2,diwali
1,dizzamn
1,dizzee
1,dl
1,dled
1,dlf
5,dload
13,dnt
410,do
1,dob
1,dobby
1,dobby's
4,doc
1,dock
1,docks
3,docs
9,doctor
1,doctors
1,documents
1,dodda
1,dodgey
32,does
1,doesdiscount
4,doesn
15,doesn't
9,doesnt
7,dog
1,dogbreath
1,dogg
1,doggin
11,dogging
3,doggy
1,dogs
1,dogwood
12,doin
1,doinat
88,doing
1,doit
1,doke
2,dokey
1,doll
2,dollar
5,dollars
1,dolls
1,dom
1,domain
28,don
141,don't
2,donate
50,done
2,donno
148,dont
1,dontcha
1,dontignore
1,dontmatter
1,dontplease
1,donyt
1,dooms
8,door
3,doors
2,dorm
1,dormitory
1,dorothy
1,dose
1,dosomething
3,dot
22,double
1,double-faggot
1,doublemins
1,doubles
1,doubletxt
2,doubt
1,doug
2,dough
56,down
13,download
2,downloaded
3,downloads
1,downon
1,downs
1,downstem
1,dozens
1,dps
2,dr
2,dracula
1,drama
1,dramastorm's
1,dramatic
1,drastic
44,draw
1,draws
1,dreading
11,dream
22,dreams
1,dreamz
3,dress
2,dressed
3,dresser
18,drink
2,drinkin
3,drinking
5,drinks
1,drivby
20,drive
2,driver
4,drivin
22,driving
1,drizzling
2,drms
18,drop
5,dropped
1,drops
2,drove
2,drpd
5,drug
1,drugdealer
10,drugs
1,drum
3,drunk
1,drunkard
2,drunken
1,drvgsto
4,dry
1,dryer
3,dsn't
2,dt
1,dual
1,dub
3,dubsack
2,duchess
1,ducking
23,dude
1,dudes
1,dudette
6,due
1,duffer
1,dull
2,dumb
1,dump
55,dun
1,dungerees
31,dunno
1,duo
2,durban
1,durham
8,during
1,dusk
1,dust
1,duvet
8,dvd
1,dvg
1,dwn
1,dying
1,dysentry
89,e
1,e-mail
1,e-namous
1,e-ternal
2,e-threats
3,e-tlp
17,each
1,eachother
2,ear
13,earlier
1,earlier-we
1,earliest
33,early
2,earn
1,earning
1,ears
6,earth
4,easier
1,easiest
2,easily
2,east
2,eastenders
2,easter
31,easy
38,eat
3,eaten
7,eatin
7,eating
2,ebay
1,echo
1,eckankar
1,ecstacy
1,ecstasy
1,edge
1,edhae
2,edison
1,edition
1,edrunk
2,edu
1,education
2,educational
1,edukkukayee
1,edward
1,edwards
2,ee
2,eek
5,eerie
1,eerulli
2,effect
2,effects
1,efficient
1,efreefone
11,eg
1,egbon
4,egg
1,egg-potato
2,eggs
1,eggs-pert
1,ego
12,eh
3,eight
2,eighth
1,eightish
2,eire
22,either
1,el
2,ela
1,elaborate
1,elaborating
2,elaine
1,elama
1,elaya
1,eldest
1,election
1,elections
2,electricity
1,elephant
1,eleven
1,elliot
1,ello
24,else
3,elsewhere
1,elvis
10,em
19,email
1,emailed
4,embarassed
1,embarassing
1,embarrassed
1,embassy
1,emergency
1,emerging
1,emigrated
1,emily
1,emotion
1,employee
1,employer's
10,empty
2,en
1,enc
41,end
6,ended
9,ending
1,endless
1,endof
1,endowed
12,ends
1,enemies
4,enemy
10,energy
5,eng
1,engaged
1,engagement
1,engalnd
2,engin
10,england
5,english
40,enjoy
4,enjoyed
2,enjoyin
1,enjoying
1,enketa
1,enna
1,ennal
29,enough
1,ente
13,enter
11,entered
1,enters
1,entertain
1,entertaining
1,entey
1,entire
1,entirely
8,entitled
1,entrepreneurs
1,entropication
26,entry
1,enufcredeit
3,enuff
6,envelope
2,environment
1,envy
1,epi
1,eppolum
2,epsilon
1,equally
5,er
1,er'ything
1,ere
1,ericson
2,ericsson
3,erm
1,erode
1,erotic
1,err
2,error
1,errors
1,ertini
1,eruku
1,erupt
1,erutupalam
1,esaplanade
1,escalator
4,escape
3,ese
1,eshxxxxxxxxxxx
1,espe'll
9,especially
4,esplanade
1,essay
4,essential
1,establish
2,eta
13,etc
1,ethnicity
1,etlp
1,ettans
3,euro
2,eurodisinc
2,europe
1,evaluation
1,evaporated
20,eve
2,eveb
64,even
28,evening
2,evenings
2,event
1,events
1,eventually
35,ever
72,every
3,everybody
2,everybody's
1,everyboy
2,everyday
18,everyone
1,everyones
1,everyso
1,everythin
30,everything
1,everytime
2,everywhere
1,evey
1,eviction
1,evil
3,evn
6,evng
1,evo
1,evone
2,evr
2,evrey
2,evry
2,evrydy
1,ew
10,ex
1,ex-wife
4,exact
6,exactly
11,exam
5,exams
9,excellent
7,except
1,exchanged
1,excited
6,exciting
7,excuse
1,excused
2,excuses
3,exe
3,executive
1,exercise
2,exeter
2,exhaust
3,exhausted
1,exhibition
1,exist
2,exmpel
1,exorcism
2,exorcist
1,exp
4,expect
1,expected
5,expecting
1,expects
6,expensive
7,experience
1,experiencehttp
1,experiment
1,expert
2,expired
17,expires
1,expiry
4,explain
2,explicit
1,explicitly
2,explosive
1,exposed
1,exposes
3,express
2,expression
2,expressoffer
1,ext
1,exterminator
12,extra
1,extract
1,extreme
2,ey
3,eye
1,eyed-dont
9,eyes
14,f
4,fa
2,fab
1,faber
30,face
8,facebook
1,facilities
10,fact
1,factory
1,facts
1,faded
2,faggy
1,faglord
3,failed
1,failing
2,fails
1,failure
1,fainting
3,fair
2,faith
2,fake
1,fakeye's
1,fal
1,falconerf
6,fall
1,fallen
2,falling
3,falls
1,fals
1,famamus
1,familiar
22,family
1,famous
2,fan
1,fancied
3,fancies
14,fancy
1,fans
6,fantasies
10,fantastic
5,fantasy
16,far
3,farm
1,farrell
1,farting
1,fassyole
16,fast
4,faster
2,fastest
7,fat
1,fated
13,father
3,fathima
1,fats
1,fatty
8,fault
2,fav
3,fave
3,favor
2,favorite
4,favour
3,favourite
6,fb
3,fear
1,feathery
1,features
6,feb
1,feb-april
4,february
1,fed
1,fedex
1,feed
62,feel
3,feelin
22,feeling
1,feelingood
1,feellikw
11,feels
3,fees
4,feet
3,fell
1,fellow
13,felt
3,female
1,feng
1,festival
6,fetch
1,fetching
4,fever
44,few
1,fffff
1,ffffffffff
1,ffffuuuuuuu
1,fgkslpo
1,fgkslpopw
1,fidalfication
2,field
1,fieldof
1,fiend
1,fifa
4,fifteen
1,fifth
1,fifty
6,fight
5,fighting
3,fightng
2,fights
10,figure
2,figures
1,figuring
4,file
4,files
4,fill
2,filled
2,filling
4,fills
10,film
3,films
1,filth
2,filthy
1,filthyguys
18,final
1,finalise
15,finally
2,finance
1,financial
73,find
1,finding
1,finds
51,fine
1,finest
8,fingers
42,finish
1,finishd
19,finished
3,finishes
3,finishing
1,fink
1,finn's
2,fire
1,fired
1,firefox
1,fireplace
1,fires
1,firmware
1,firsg
65,first
3,fish
1,fishhead
1,fishrman
3,fit
1,fiting
6,five
5,fix
1,fixd
8,fixed
2,fixedline
1,fixes
1,fizz
9,flag
3,flaked
2,flaky
2,flame
3,flash
5,flat
1,flatter
1,flavour
1,flea
1,fletcher
1,flew
2,flies
3,flight
6,flights
1,flim
2,flip
1,flippin
7,flirt
2,flirting
1,flirtparty
1,floating
1,flood
3,floor
1,floppy
1,florida
1,flow
6,flower
1,flowers
2,flowing
1,fluids
1,flung
1,flurries
1,flute
2,fly
1,flying
1,flyng
1,fm
4,fml
1,fne
2,fo
1,fold
2,foley
1,folks
3,follow
4,followed
1,followin
7,following
1,follows
1,fond
1,fondly
14,fone
1,foned
1,fones
1,fonin
23,food
4,fool
1,fooled
1,fools
2,foot
4,football
1,footbl
1,footie
3,footprints
1,footy
711,for
3,force
1,forced
1,foregate
3,foreign
10,forever
3,forevr
1,forfeit
18,forget
2,forgets
1,forgive
2,forgiven
1,forgiveness
32,forgot
2,forgotten
1,forgt
2,form
1,formal
1,formally
2,format
1,formatting
2,forms
1,forth
1,fortune
